flattened_destination,inbound_rules,example_sources,target
/developers-hub/docs/adobe-launch-web-plugin,1,/developer-hub/docs/adobe-launch-web-plugin,
/using-branch/docs/testing-universal-ads-campaign-setup,1,/v1/docs/testing-universal-ads-campaign-setup,
/marketer-hub/docs/non-sans,1,/non-sans,
/marketer-hub/docs/custom-partner-integration-guides,1,/custom-partner-integration-guides,
/docs/data-privacy,1,/docs/data-privacy-1,
/developer-hub/docs/journeys-assist-implementation,1,/developer-hub/marketer-hub/docs/journeys-assist-implementation,
/marketer-hub/docs/short-links,1,/marketer-hub/docs/app-links,
/developer-hub/docs/webhooks-for-developers,1,/developer-hub/marketer-hub/docs/webhooks-for-developers,
/docs/release-notes,1,/using-branch/docs/changes-to-feature-offerings-for-self-serve-users,
/docs/view-through-conversions-from-apple-ads,1,/using-branch/docs/view-through-conversions-from-apple-ads,
/developer-hub/docs/self-attributing-networks-sans,1,/using-branch/docs/self-attributing-networks-sans,
/docs/eu-hosted-data-for-new-enterprise-customers,1,/using-branch/docs/eu-hosted-data-for-new-enterprise-customers,
/docs/facebook-mai-support,1,/using-branch/docs/facebook-mai-support,
/docs/journeys-html-editor-creatives-optimization-content-overhaul,1,/using-branch/docs/journeys-html-editor-creatives-optimization-content-overhaul,
/docs/improved-summary-page,1,/using-branch/docs/improved-summary-page,
/docs/commitment-to-accessibility,1,/using-branch/docs/commitment-to-accessibility,
/docs/investigating-branch-deepviews-optimizations,1,/using-branch/docs/investigating-branch-deepviews-optimizations,
/docs/support-for-google-ads-skadnetwork-4,1,/using-branch/docs/google-ads-skadnetwork-4-support,
/docs/improved-self-service-invoicing-processing,1,/using-branch/docs/improved-self-service-invoicing-processing,
/docs/cost-data-for-non-sans-beta,1,/using-branch/docs/cost-data-for-non-sans-beta,
/docs/handling-data-subject-requests-from-end-users,1,/using-branch/docs/handling-data-subject-requests-from-end-users,
/developer-hub/docs/email-partners-list,1,/using-branch/docs/email-partners-list,
/v1-api/apidocs/quick-links-api,1,/v1-api/apidocs/quick-links-api-1,
/developer-hub/docs/segment-export,1,/faq/docs/how-do-i-pass-segment-anonymous-id-in-react-native-when-configuring-segment-export,
/email-faqs,1,/universal-email-faqs,
/developer-hub/docs/test-the-ios-android-and-web-sdks,1,/faq/docs/test-the-branch-ios-android-web-sdk,
/developer-hub/docs/sdk-supplemental-info-index,1,/developers-hub/docs/sdk-supplemental-information,
/developer-hub/docs/sdk-events-index,1,/developers-hub/docs/sdk-events,
/developer-hub/docs/react-native-sdk-index,1,/developers-hub/docs/react-native-index,
/developer-hub/docs/other-app-integrations-index,1,/developers-hub/docs/other-app-integrations,
/developer-hub/docs/linking-routing-index,1,/developers-hub/docs/linking-routing,
/developer-hub/docs/data-privacy-index,1,/developers-hub/docs/data-privacy,
/developer-hub/docs/data-mapping-formatting-index,1,/developers-hub/docs/data-mapping-formatting,
/apidocs/update-existing-short-link,1,/apidocs/update-existing-deep-link,
/apidocs/read-existing-short-link,1,/apidocs/read-existing-deep-link,
/apidocs/delete-existing-short-link,1,/apidocs/delete-existing-deep-link,
/apidocs/create-bulk-short-link-url,1,/apidocs/create-bulk-deep-link-url,
/apidocs/create-a-short-link-url,1,/apidocs/create-a-deep-link-url,
/supported-ad-partners,1,/ad-partners-list,
/ko,1,/kr,
/developer-hub/reference/requestaggregateexport,1,/developers-hub/reference/requestaggregateexport-1,
