source,flattened_destination,reason
/pages/exports/api-v3,/apidocs/apis-overview,destination slug not found in new site
/partners-portal,/marketer-hub/docs/supported-ad-partners,destination slug not found in new site
/partners-portal/docs/adcolonyuniversal-ads-partner-integration-qa-process,/developer-hub/docs/universal-ads-partner-integration-qa-process,destination slug not found in new site
/partners-portal/docs/criteocriteo,/developer-hub/docs/criteo-configuration,destination slug not found in new site
/partners-portal/docs/digital-turbine,/marketer-hub/docs/digital-turbine,destination slug not found in new site
/partners-portal/docs/predictive-modeling-ad-network-click-spec,/developer-hub/docs/apple,destination slug not found in new site
/reference,/developer-hub/reference/apis-overview,destination slug not found in new site
/snap-log-level-reporting,/log-level-reporting-snap,destination slug not found in new site
/under-apples-new-policy-what-attribution-methods-will-branch-use-and-when,/branch-ios-14-product-details-general-faq,destination slug not found in new site
/unified-analytics-exports-dashboard-improvements,/improved-unified-analytics-exports,destination slug not found in new site
/universal-email-faqs,/email-faqs,destination slug not found in new site
/using-branch/docs/ad-partners-list,/marketer-hub/docs/supported-ad-partners,destination slug not found in new site
/using-branch/docs/additional-ip-addresses-for-webhooks,/account-hub/docs/additional-ip-addresses-for-webhooks,destination slug not found in new site
/using-branch/docs/adobe-launch-web-plugin,/developer-hub/docs/branch-sdks,destination slug not found in new site
/using-branch/docs/all-cost-data-moving-to-roi-hub,/account-hub/docs/all-cost-data-moving-to-roi-hub,destination slug not found in new site
/using-branch/docs/app-version-filters-in-engagement-builder,/account-hub/docs/app-version-filters-in-engagement-builder,destination slug not found in new site
/using-branch/docs/apple-ads-skan-support,/account-hub/docs/apple-ads-skan-support,destination slug not found in new site
/using-branch/docs/audio-media-support-on-links,/account-hub/docs/audio-media-support-on-links,destination slug not found in new site
/using-branch/docs/branch-google-icm-for-enhanced-mobile-measurement,/account-hub/docs/branch-google-icm-for-enhanced-mobile-measurement,destination slug not found in new site
/using-branch/docs/branch-methodology-overview,/marketer-hub/docs/attribution-methods,destination slug not found in new site
/using-branch/docs/changelog-household-measurement,/account-hub/docs/changelog-household-measurement,destination slug not found in new site
/using-branch/docs/changes-to-feature-offerings-for-self-serve-users,/docs/release-notes,destination slug not found in new site
/using-branch/docs/commitment-to-accessibility,/docs/commitment-to-accessibility,destination slug not found in new site
/using-branch/docs/cost-data-for-non-sans-beta,/docs/cost-data-for-non-sans-beta,destination slug not found in new site
/using-branch/docs/country-level-reporting,/account-hub/docs/country-level-reporting,destination slug not found in new site
/using-branch/docs/create-quick-links,/marketer-hub/docs/create-branch-links-index,destination slug not found in new site
/using-branch/docs/cross-events-exports-api,/docs/introducing-cross-events-exports-api,destination slug not found in new site
/using-branch/docs/custom-qr-code-download-improvements,/account-hub/docs/custom-qr-code-download-improvements,destination slug not found in new site
/using-branch/docs/data-feeds-overview,/marketer-hub/docs/advanced-data-feeds,destination slug not found in new site
/using-branch/docs/data-integration-partners,/marketer-hub/docs/supported-data-integration-partners,destination slug not found in new site
/using-branch/docs/digital-turbine,/marketer-hub/docs/digital-turbine,destination slug not found in new site
/using-branch/docs/direct-twitter-integration-now-available-in-roi-hub,/account-hub/docs/direct-twitter-integration-now-available-in-roi-hub,destination slug not found in new site
/using-branch/docs/early-access-for-journeys-desktop-banners,/account-hub/docs/early-access-for-journeys-desktop-banners,destination slug not found in new site
/using-branch/docs/email-enhancements,/account-hub/docs/email-enhancements,destination slug not found in new site
/using-branch/docs/email-integration-guide,/marketer-hub/docs/email-integration-guide,destination slug not found in new site
/using-branch/docs/email-partners-list,/developer-hub/docs/email-partners-list,destination slug not found in new site
/using-branch/docs/enhanced-ad-engagement-type-metrics,/account-hub/docs/enhanced-ad-engagement-type-metrics,destination slug not found in new site
